iter	Passed	Remaining
787	3549	955
788	3555	950
789	3560	946
790	3566	942
791	3571	937
792	3576	933
793	3582	929
794	3587	925
795	3592	920
796	3598	916
797	3603	912
798	3608	907
799	3613	903
800	3618	898
801	3623	894
802	3629	890
803	3633	885
804	3638	881
805	3642	876
806	3647	872
807	3652	867
808	3657	863
809	3662	859
810	3667	854
811	3672	850
812	3677	845
813	3682	841
814	3687	837
815	3692	832
816	3697	828
817	3701	823
818	3706	819
819	3710	814
820	3715	810
821	3720	805
822	3724	801
823	3729	796
824	3734	792
825	3739	787
826	3744	783
827	3748	778
828	3753	774
829	3758	769
830	3764	765
831	3769	761
832	3775	756
833	3780	752
834	3785	748
835	3790	743
836	3795	739
837	3800	734
838	3805	730
839	3810	725
840	3815	721
841	3819	716
842	3825	712
843	3829	707
844	3834	703
845	3839	698
846	3845	694
847	3849	690
848	3854	685
849	3859	681
850	3863	676
851	3868	671
852	3873	667
853	3878	662
854	3882	658
855	3887	653
856	3891	649
857	3896	644
858	3900	640
859	3905	635
860	3909	631
861	3913	626
862	3918	622
863	3922	617
864	3926	612
865	3931	608
866	3935	603
867	3940	599
868	3944	594
869	3948	590
870	3953	585
871	3957	580
872	3961	576
873	3965	571
874	3969	567
875	3974	562
876	3978	557
877	3982	553
878	3986	548
879	3990	544
880	3994	539
881	3998	534
882	4002	530
883	4007	525
884	4011	521
885	4015	516
886	4020	512
887	4024	507
888	4028	502
889	4033	498
890	4037	493
891	4041	489
892	4045	484
893	4049	480
894	4054	475
895	4058	471
896	4063	466
897	4068	462
898	4072	457
899	4076	452
900	4080	448
901	4084	443
902	4088	439
903	4093	434
904	4097	430
905	4101	425
906	4105	420
907	4109	416
908	4113	411
909	4118	407
910	4122	402
911	4126	398
912	4131	393
913	4135	389
914	4139	384
915	4143	379
916	4147	375
917	4151	370
918	4155	366
919	4159	361
920	4164	357
921	4168	352
922	4172	348
923	4176	343
924	4181	339
925	4185	334
926	4189	329
927	4193	325
928	4198	320
929	4202	316
930	4206	311
931	4211	307
932	4215	302
933	4219	298
934	4223	293
935	4227	289
936	4231	284
937	4235	279
938	4240	275
939	4244	270
940	4248	266
941	4252	261
942	4256	257
943	4261	252
944	4265	248
945	4269	243
946	4274	239
947	4279	234
948	4283	230
949	4287	225
950	4292	221
951	4297	216
952	4301	212
953	4305	207
954	4310	203
955	4315	198
956	4319	194
957	4323	189
958	4328	185
959	4332	180
960	4336	175
961	4340	171
962	4345	166
963	4350	162
964	4354	157
965	4359	153
966	4364	148
967	4368	144
968	4373	139
969	4377	135
970	4381	130
971	4386	126
972	4390	121
973	4395	117
974	4399	112
975	4403	108
976	4408	103
977	4413	99
978	4417	94
979	4421	90
980	4426	85
981	4430	81
982	4435	76
983	4439	72
984	4444	67
985	4448	63
986	4452	58
987	4457	54
988	4461	49
989	4466	45
990	4470	40
991	4475	36
992	4479	31
993	4484	27
994	4488	22
995	4493	18
996	4497	13
997	4502	9
998	4506	4
999	4510	0
